# timestamp tx ty tz qx qy qz qw
1540823082.20282 4.21160574579215 -0.39900756097192 -0.823018933055463 -0.19583423139184 -0.68687233868184 0.665961425199052 0.215292183591869
1540823082.20482 4.21160207065257 -0.399023141102919 -0.823076325231547 -0.195801867921057 -0.686860745532184 0.665985418494636 0.215284386610181
1540823082.20682 4.21159802382379 -0.399038442899637 -0.823133092460073 -0.195773195529703 -0.686851368042259 0.666005917094242 0.215276967012321
1540823082.20882 4.21159361241387 -0.3990534874864 -0.823189270193163 -0.195747946403824 -0.686843964071551 0.666023218832014 0.215270022236741
1540823082.21082 4.21158884337834 -0.399068295208627 -0.823244893030084 -0.195725864694721 -0.686838304874031 0.666037606918248 0.21526364072431
1540823082.21282 4.21158372352618 -0.399082885644145 -0.823299994716225 -0.195706706265603 -0.686834174781798 0.666049350288668 0.215257902188327
1540823082.21482 4.21157825952588 -0.399097277614511 -0.823354608142072 -0.195690238437436 -0.686831370886405 0.666058703951335 0.215252877883825
1540823082.21682 4.2115724579115 -0.399111489196322 -0.823408765342174 -0.195676239734007 -0.686829702718171 0.666065909331436 0.215248630876287
1540823082.21882 4.21156632508865 -0.399125537732539 -0.823462497494122 -0.195664499626266 -0.68682899192375 0.666071194614158 0.215245216309857
1540823082.22082 4.21155986734059 -0.399139439843796 -0.823515834917519 -0.195654818275964 -0.68682907194221 0.666074775085867 0.215242681675159
1540823082.22282 4.21155309083422 -0.399153211439725 -0.823568807072955 -0.195647006278647 -0.68682978767984 0.666076853473771 0.215241067076777
1540823082.22482 4.21154600162615 -0.399166867730264 -0.823621442560978 -0.19564088440603 -0.686830995183881 0.66607762028425 0.215240405500493
1540823082.22682 4.21153860566873 -0.39918042323698 -0.823673769121067 -0.195636283347791 -0.686832561315376 0.666077254139999 0.215240723080326
1540823082.22882 4.21153090881607 -0.399193891804385 -0.823725813630605 -0.195633043452832 -0.686834363421285 0.666075922116139 0.215242039365444
1540823082.23082 4.21152291683009 -0.399207286611248 -0.823777602103857 -0.195631014470028 -0.686836289006014 0.666073780075414 0.215244367586989
1540823082.23282 4.21151463538657 -0.399220620181919 -0.823829159690932 -0.195630055288516 -0.686838235402486 0.666070973002608 0.215247714924853
1540823082.23482 4.21150607008118 -0.399233904397639 -0.823880510676767 -0.195630033677536 -0.686840109442852 0.666067635338272 0.215252082774453
1540823082.23682 4.21149722643548 -0.399247150507859 -0.823931678480093 -0.195630826025885 -0.686841827128949 0.666063891311874 0.215257467013528
1540823082.23882 4.21148810990303 -0.399260369141561 -0.823982685652414 -0.195632317080988 -0.686843313302578 0.666059855274445 0.215263858268978
1540823082.24082 4.21147872587538 -0.399273570318565 -0.824033553876968 -0.195634399687642 -0.68684450131567 0.666055632030793 0.215271242183777
1540823082.24282 4.21146907968809 -0.399286763460857 -0.824084303967718 -0.195636974526439 -0.686845332700408 0.666051317171373 0.215279599683964
1540823082.24482 4.21145917662682 -0.399299957403897 -0.824134955868309 -0.195639949851921 -0.686845756839331 0.666046997403849 0.215288907245735
1540823082.24682 4.21144902193334 -0.39931316040794 -0.824185528651048 -0.195643241230473 -0.686845730635476 0.666042750884414 0.215299137162636
